Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 319857
Palabra: alleviate Freq: 10 LogProb: -10.386219210663384
Palabra: allocate Freq: 12 LogProb: -10.20389765386943
Palabra: allow Freq: 267 LogProb: -7.101555645257181
Palabra: ally Freq: 4 LogProb: -11.30250994253754
Palabra: almost Freq: 97 LogProb: -8.114093325154048
Palabra: aloe Freq: 17 LogProb: -9.855590959601214
Palabra: alone Freq: 33 LogProb: -9.19229674219095
Palabra: along Freq: 62 LogProb: -8.561669918612338
Palabra: alongside Freq: 9 LogProb: -10.491579726321211
Palabra: alot Freq: 9 LogProb: -10.491579726321211
Palabra: already Freq: 203 LogProb: -7.375598324615643
Palabra: also Freq: 564 LogProb: -6.353750052159372
Palabra: alter Freq: 9 LogProb: -10.491579726321211
Palabra: alternate Freq: 7 LogProb: -10.742894154602117
Palabra: alternative Freq: 32 LogProb: -9.223068400857704
Palabra: although Freq: 31 LogProb: -9.254817099172284
Palabra: always Freq: 171 LogProb: -7.547140747154771
Palabra: am Freq: 20 LogProb: -9.693072030103439
Palabra: amaze Freq: 52 LogProb: -8.737560585076004
Palabra: amazing Freq: 93 LogProb: -8.156204810504175
Palabra: amazon Freq: 192 LogProb: -7.431308931629649
Palabra: ambulance Freq: 20 LogProb: -9.693072030103439
Palabra: america Freq: 99 LogProb: -8.09368445352284
Palabra: american Freq: 198 LogProb: -7.400537272962895
Palabra: amid Freq: 308 LogProb: -6.958704520683856
Palabra: amidst Freq: 58 LogProb: -8.628361293111011
Palabra: ammo Freq: 8 LogProb: -10.609362761977595
Palabra: among Freq: 58 LogProb: -8.628361293111011
Palabra: amongst Freq: 9 LogProb: -10.491579726321211
Palabra: amount Freq: 93 LogProb: -8.156204810504175
Palabra: amp Freq: 720 LogProb: -6.109553091647329
Palabra: ample Freq: 7 LogProb: -10.742894154602117
Palabra: an Freq: 82 LogProb: -8.282085056393177
Palabra: analysis Freq: 40 LogProb: -8.999924849543493
Palabra: analyst Freq: 32 LogProb: -9.223068400857704
Palabra: analytics Freq: 13 LogProb: -10.123854946195893
Palabra: analyze Freq: 10 LogProb: -10.386219210663384
Palabra: and Freq: 398 LogProb: -6.702352298372992
Palabra: andrew Freq: 11 LogProb: -10.29090903085906
Palabra: angel Freq: 11 LogProb: -10.29090903085906
Palabra: angela Freq: 10 LogProb: -10.386219210663384
Palabra: angeles Freq: 15 LogProb: -9.98075410255522
Palabra: angry Freq: 7 LogProb: -10.742894154602117
Palabra: animal Freq: 46 LogProb: -8.860162907168336
Palabra: announce Freq: 164 LogProb: -7.588937875833232
Palabra: announcement Freq: 40 LogProb: -8.999924849543493
Palabra: announces Freq: 16 LogProb: -9.91621558141765
Palabra: annoy Freq: 4 LogProb: -11.30250994253754
